status_num,expected_amount,location,platform,platform_type,capital,year
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2018
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
0,3000000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2018
0,3000000.0,Київ,Unknown,Громадський бюджет,Людський,2018
1,3000000.0,Біла Церква,Unknown,Громадський бюджет,Інфраструктурний,2020
1,3000000.0,Біла Церква,Unknown,Громадський бюджет,Інфраструктурний,2020
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
1,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
0,3000000.0,Чернівці,Unknown,Громадський бюджет,Інфраструктурний,2019
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2018
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2016
0,3000000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2019
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
0,3000000.0,Чернівці,Unknown,Громадський бюджет,Інфраструктурний,2019
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2021
0,3000000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2019
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2019
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
0,3000000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2018
0,3000000.0,Київ,Unknown,Громадський бюджет,Людський,2021
0,3000000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2019
0,3000000.0,Київ,Unknown,Громадський бюджет,Інфраструктурний,2018
0,3000000.0,Львів,Unknown,Громадський бюджет,Інфраструктурний,2017
